surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,261,Abdullah Shelbayh,38,41.55%,118,284,0.68,3.19,7.47,1.33,3.11,60.00%,174,290,0.7,3.26,7.63,1.3,3.05
all,91,Adam Walton,60,41.32%,157,380,0.51,2.52,6.33,1.04,2.62,60.60%,223,368,0.5,2.44,6.13,0.96,2.42
all,777,Adhithya Ganesan,7,38.89%,14,36,0.44,2.12,5.14,0.82,2,51.85%,28,54,0.62,3.18,7.71,1.53,3.71
all,975,Aditya Vishal Balsekar,7,54.55%,6,11,0.17,0.73,1.57,0.4,0.86,54.39%,31,57,0.92,3.8,8.14,1.73,3.71
all,65,Adolfo Daniel Vallejo,73,45.60%,285,625,0.81,3.72,8.56,1.7,3.9,58.68%,267,455,0.59,2.71,6.23,1.12,2.58
all,373,Adria Soriano Barrera,10,23.53%,8,34,0.26,1.36,3.4,0.32,0.8,59.32%,35,59,0.48,2.36,5.9,0.96,2.4
all,874,Adrian Andreev,8,30.61%,15,49,0.58,2.72,6.12,0.83,1.88,48.28%,28,58,0.72,3.22,7.25,1.67,3.75
all,73,Adrian Mannarino,48,40.54%,120,296,0.5,2.45,6.17,0.99,2.5,59.70%,197,330,0.56,2.73,6.88,1.1,2.77
all,659,Aidan Kim,5,31.03%,9,29,0.62,2.64,5.8,0.82,1.8,64.29%,27,42,0.86,3.82,8.4,1.36,3
all,689,Aidan Mayo,14,25.23%,28,111,0.61,3.17,7.93,0.8,2,61.73%,50,81,0.45,2.31,5.79,0.89,2.21
all,293,Akira Santillan,25,41.29%,64,155,0.59,2.67,6.2,1.1,2.56,50.68%,74,146,0.54,2.52,5.84,1.24,2.88
all,444,Alafia Ayeni,15,29.73%,33,111,0.63,3.08,7.4,0.92,2.2,62.96%,68,108,0.6,3,7.2,1.11,2.67
all,650,Alan Magadan,14,34.55%,38,110,0.68,3.33,7.86,1.15,2.71,55.86%,62,111,0.69,3.36,7.93,1.48,3.5
all,265,Alastair Gray,30,38.14%,74,194,0.58,2.69,6.47,1.03,2.47,64.55%,122,189,0.55,2.62,6.3,0.93,2.23
all,354,Albert Ramos-Vinolas,5,40.62%,13,32,0.54,2.67,6.4,1.08,2.6,63.64%,28,44,0.75,3.67,8.8,1.33,3.2
all,618,Alberto Barroso Campos,10,47.54%,29,61,0.59,2.54,6.1,1.21,2.9,55.07%,38,69,0.66,2.88,6.9,1.29,3.1
all,20,Alejandro Davidovich Fokina,51,40.00%,126,315,0.51,2.48,6.18,0.99,2.47,65.31%,209,320,0.52,2.52,6.27,0.87,2.18
all,222,Alejandro Moro Canas,57,40.09%,170,424,0.64,3.07,7.44,1.23,2.98,60.70%,244,402,0.61,2.91,7.05,1.14,2.77
all,26,Alejandro Tabilo,77,39.50%,190,481,0.53,2.56,6.25,1.01,2.47,66.27%,277,418,0.45,2.22,5.43,0.75,1.83
all,450,Alejo Sanchez Quilez,18,56.14%,64,114,0.58,2.71,6.33,1.52,3.56,56.95%,86,151,0.75,3.6,8.39,1.55,3.61
all,108,Aleksandar Kovacevic,45,32.99%,64,194,0.35,1.72,4.31,0.57,1.42,61.92%,148,239,0.42,2.12,5.31,0.81,2.02
all,67,Aleksandar Vukic,40,34.55%,76,220,0.46,2.16,5.5,0.75,1.9,58.91%,162,275,0.57,2.7,6.88,1.11,2.83
all,84,Aleksandr Shevchenko,12,40.82%,40,98,0.73,3.38,8.17,1.38,3.33,63.29%,50,79,0.57,2.72,6.58,1,2.42
all,264,Alex Barrena,50,44.06%,152,345,0.65,2.97,6.9,1.31,3.04,55.81%,216,387,0.73,3.34,7.74,1.47,3.42
all,157,Alex Bolt,36,39.55%,87,220,0.57,2.68,6.11,1.06,2.42,64.86%,120,185,0.46,2.26,5.14,0.79,1.81
all,498,Alex Hernandez,25,40.00%,66,165,0.57,2.7,6.6,1.08,2.64,54.79%,120,219,0.78,3.59,8.76,1.62,3.96
all,517,Alex Marti Pujolras,6,51.35%,19,37,0.63,3.08,6.17,1.58,3.17,53.45%,31,58,1.02,4.83,9.67,2.25,4.5
all,355,Alex Martinez,20,50.41%,62,123,0.56,2.67,6.15,1.35,3.1,54.55%,72,132,0.61,2.87,6.6,1.3,3
all,41,Alex Michelsen,57,41.42%,152,367,0.55,2.58,6.44,1.07,2.67,61.67%,214,347,0.51,2.44,6.09,0.94,2.33
all,81,Alex Molcan,49,42.02%,158,376,0.75,3.42,7.67,1.44,3.22,61.85%,167,270,0.54,2.45,5.51,0.94,2.1
all,332,Alex Rybakov,26,40.51%,64,158,0.56,2.63,6.08,1.07,2.46,61.62%,122,198,0.71,3.3,7.62,1.27,2.92
all,7,Alex de Minaur,69,42.63%,211,495,0.61,2.89,7.17,1.23,3.06,67.17%,313,466,0.57,2.73,6.75,0.89,2.22
all,479,Alexander Binda,10,53.45%,31,58,0.58,2.64,5.8,1.41,3.1,53.25%,41,77,0.75,3.5,7.7,1.64,3.6
all,205,Alexander Blockx,57,39.43%,138,350,0.51,2.4,6.14,0.95,2.42,68.15%,214,314,0.45,2.15,5.51,0.68,1.75
