surface,ranking,player_name,matches_played,dominance_ratio,points,total_points_won_pct,tiebreaks_played,tiebreak_record,tiebreak_win_pct,tiebreaks_per_set,sets_played,set_record,set_win_pct,games_played,game_record,game_win_pct,time_per_match,minutes_per_set,seconds_per_point
all,261,Abdullah Shelbayh,38,0.929,5413,49.09%,11,3-8,27.27%,0.124,89,44-45,49.44%,838,417-421,49.76%,,,
all,91,Adam Walton,60,1.027,9401,50.29%,33,14-19,42.42%,0.219,151,74-77,49.01%,1508,761-747,50.46%,,,
all,777,Adhithya Ganesan,7,0.693,1132,47.08%,6,2-4,33.33%,0.353,17,5-12,29.41%,175,77-98,44.00%,,,
all,975,Aditya Vishal Balsekar,7,0.552,775,42.71%,1,1-0,100.00%,0.067,15,3-12,20.00%,126,43-83,34.13%,,,
all,65,Adolfo Daniel Vallejo,73,1.150,10069,52.59%,17,7-10,41.18%,0.101,168,110-58,65.48%,1559,876-683,56.19%,,,
all,373,Adria Soriano Barrera,10,0.812,1653,46.70%,11,5-6,45.45%,0.440,25,7-18,28.00%,264,113-151,42.80%,,,
all,874,Adrian Andreev,8,0.912,1130,46.11%,3,1-2,33.33%,0.167,18,3-15,16.67%,168,67-101,39.88%,,,
all,73,Adrian Mannarino,48,0.951,7412,49.30%,25,9-16,36.00%,0.207,121,50-71,41.32%,1208,581-627,48.10%,,,
all,659,Aidan Kim,5,0.769,615,47.97%,0,0-0,,0.000,11,4-7,36.36%,96,43-53,44.79%,,,
all,689,Aidan Mayo,14,1.213,2451,50.39%,15,7-8,46.67%,0.429,35,16-19,45.71%,375,183-192,48.80%,,,
all,293,Akira Santillan,25,0.990,3310,49.79%,5,3-2,60.00%,0.086,58,27-31,46.55%,535,263-272,49.16%,,,
all,444,Alafia Ayeni,15,1.043,2348,49.66%,5,4-1,80.00%,0.139,36,18-18,50.00%,361,176-185,48.75%,,,
all,650,Alan Magadan,14,0.939,2139,48.39%,6,3-3,50.00%,0.182,33,13-20,39.39%,328,153-175,46.65%,,,
all,265,Alastair Gray,30,1.045,4446,50.92%,13,6-7,46.15%,0.181,72,36-36,50.00%,689,354-335,51.38%,,,
all,354,Albert Ramos-Vinolas,5,0.753,729,47.87%,0,0-0,,0.000,12,5-7,41.67%,118,56-62,47.46%,,,
all,618,Alberto Barroso Campos,10,0.981,1306,49.85%,0,0-0,,0.000,24,11-13,45.83%,209,103-106,49.28%,,,
all,20,Alejandro Davidovich Fokina,51,1.036,7819,50.51%,27,15-12,55.56%,0.213,127,77-50,60.63%,1260,660-600,52.38%,,,
all,222,Alejandro Moro Canas,57,1.110,8680,50.79%,29,15-14,51.72%,0.210,138,74-64,53.62%,1352,689-663,50.96%,,,
all,26,Alejandro Tabilo,77,1.121,11464,51.37%,30,13-17,43.33%,0.160,188,104-84,55.32%,1842,970-872,52.66%,,,
all,450,Alejo Sanchez Quilez,18,0.915,2532,50.32%,5,2-3,40.00%,0.119,42,20-22,47.62%,401,202-199,50.37%,,,
all,108,Aleksandar Kovacevic,45,0.857,7096,48.76%,34,15-19,44.12%,0.301,113,45-68,39.82%,1165,557-608,47.81%,,,
all,67,Aleksandar Vukic,40,0.836,6168,47.96%,21,11-10,52.38%,0.206,102,42-60,41.18%,987,460-527,46.61%,,,
all,84,Aleksandr Shevchenko,12,1.019,1811,51.24%,7,2-5,28.57%,0.241,29,16-13,55.17%,273,147-126,53.85%,,,
all,264,Alex Barrena,50,0.910,6905,48.98%,15,6-9,40.00%,0.129,116,53-63,45.69%,1072,514-558,47.95%,,,
all,157,Alex Bolt,36,1.123,4962,52.04%,16,13-3,81.25%,0.195,82,55-27,67.07%,806,436-370,54.09%,,,
all,498,Alex Hernandez,25,0.815,3679,47.19%,6,3-3,50.00%,0.098,61,22-39,36.07%,573,249-324,43.46%,,,
all,517,Alex Marti Pujolras,6,0.873,758,46.83%,1,0-1,0.00%,0.083,12,2-10,16.67%,117,49-68,41.88%,,,
all,355,Alex Martinez,20,0.974,2789,50.05%,8,4-4,50.00%,0.174,46,23-23,50.00%,442,222-220,50.23%,,,
all,41,Alex Michelsen,57,1.071,8686,51.21%,25,15-10,60.00%,0.176,142,80-62,56.34%,1397,721-676,51.61%,,,
all,81,Alex Molcan,49,1.227,6533,52.44%,11,7-4,63.64%,0.100,110,73-37,66.36%,1019,565-454,55.45%,,,
all,332,Alex Rybakov,26,0.957,3713,49.39%,11,7-4,63.64%,0.183,60,26-34,43.33%,596,285-311,47.82%,,,
all,7,Alex de Minaur,69,1.108,10612,51.53%,26,15-11,57.69%,0.152,171,108-63,63.16%,1656,903-753,54.53%,,,
all,479,Alexander Binda,10,0.835,1311,48.89%,4,1-3,25.00%,0.182,22,8-14,36.36%,207,99-108,47.83%,,,
all,205,Alexander Blockx,57,1.101,8912,51.43%,27,14-13,51.85%,0.185,146,93-53,63.70%,1415,762-653,53.85%,,,
all,11,Alexander Bublik,58,1.052,9147,50.93%,36,19-17,52.78%,0.245,147,85-62,57.82%,1499,784-715,52.30%,,,
all,549,Alexander Donski,15,0.812,2518,48.61%,10,5-5,50.00%,0.263,38,18-20,47.37%,395,192-203,48.61%,,,
all,496,Alexander Ritschard,16,1.183,2227,51.95%,5,4-1,80.00%,0.135,37,22-15,59.46%,341,185-156,54.25%,,,
all,100,Alexander Shevchenko,40,0.935,6085,48.71%,25,15-10,60.00%,0.253,99,44-55,44.44%,962,453-509,47.09%,,,
all,592,Alexander Vasilev,16,0.860,1988,48.64%,2,1-1,50.00%,0.061,33,16-17,48.48%,301,145-156,48.17%,,,
all,3,Alexander Zverev,73,1.305,11519,52.44%,40,28-12,70.00%,0.209,191,130-61,68.06%,1910,1044-866,54.66%,,,
all,464,Alexandr Binda,8,0.864,1137,48.28%,0,0-0,,0.000,19,7-12,36.84%,178,85-93,47.75%,,,
all,132,Alexandre Muller,36,0.822,5231,47.83%,17,8-9,47.06%,0.198,86,30-56,34.88%,836,368-468,44.02%,,,
all,25,Alexei Popyrin,35,0.942,4977,48.60%,10,3-7,30.00%,0.115,87,30-57,34.48%,841,387-454,46.02%,,,
all,413,Alexey Vatutin,9,0.859,1400,48.64%,3,2-1,66.67%,0.136,22,9-13,40.91%,211,97-114,45.97%,,,
all,200,Alexis Galarneau,56,0.964,8552,49.89%,22,13-9,59.09%,0.163,135,73-62,54.07%,1340,675-665,50.37%,,,
all,409,Alfredo Perez,17,0.964,2364,49.62%,4,2-2,50.00%,0.105,38,20-18,52.63%,373,186-187,49.87%,,,
all,272,Alvaro Guillen Meza,61,1.037,9471,50.27%,24,14-10,58.33%,0.162,148,79-69,53.38%,1432,721-711,50.35%,,,
all,725,Amit Vales,6,0.912,796,47.49%,2,1-1,50.00%,0.143,14,6-8,42.86%,122,57-65,46.72%,,,
all,248,Andre Ilagan,53,0.978,8380,49.80%,29,11-18,37.93%,0.227,128,65-63,50.78%,1286,647-639,50.31%,,,
all,304,Andrea Collarini,35,1.023,5160,50.37%,11,3-8,27.27%,0.131,84,44-40,52.38%,798,407-391,51.00%,,,
all,227,Andrea Guerrieri,28,1.032,4254,50.24%,11,6-5,54.55%,0.169,65,35-30,53.85%,643,326-317,50.70%,,,
all,137,Andrea Pellegrino,41,1.010,5941,50.24%,9,6-3,66.67%,0.091,99,52-47,52.53%,925,470-455,50.81%,,,
all,393,Andrea Picchione,8,1.075,1070,52.15%,3,2-1,66.67%,0.167,18,11-7,61.11%,170,93-77,54.71%,,,
all,614,Andrea Vavassori,11,0.940,1764,50.85%,6,4-2,66.67%,0.214,28,16-12,57.14%,275,142-133,51.64%,,,
all,404,Andrej Martin,19,1.002,2601,49.56%,5,2-3,40.00%,0.116,43,19-24,44.19%,405,194-211,47.90%,,,
all,244,Andrej Nedic,39,1.080,5229,51.21%,8,3-5,37.50%,0.090,89,50-39,56.18%,814,432-382,53.07%,,,
all,223,Andres Andrade,27,0.978,3671,49.28%,7,5-2,71.43%,0.115,61,32-29,52.46%,576,282-294,48.96%,,,
all,381,Andres Martin,42,0.969,6527,49.64%,18,10-8,55.56%,0.178,101,45-56,44.55%,1016,494-522,48.62%,,,
all,726,Andres Santamarta Roig,13,0.887,1629,49.36%,0,0-0,,0.000,27,13-14,48.15%,251,124-127,49.40%,,,
all,399,Andrew Fenty,17,0.857,2547,48.29%,11,5-6,45.45%,0.282,39,14-25,35.90%,394,184-210,46.70%,,,
all,642,Andrew Paulson,8,0.925,1188,49.49%,2,1-1,50.00%,0.105,19,10-9,52.63%,179,89-90,49.72%,,,
all,16,Andrey Rublev,49,1.081,8194,50.93%,25,12-13,48.00%,0.192,130,75-55,57.69%,1293,677-616,52.36%,,,
all,262,Andy Andrade,14,0.963,2029,49.58%,3,2-1,66.67%,0.094,32,16-16,50.00%,318,154-164,48.43%,,,
all,348,Antoine Escoffier,7,1.024,999,50.75%,3,1-2,33.33%,0.188,16,8-8,50.00%,157,81-76,51.59%,,,
all,352,Antoine Ghibaudo,35,0.894,4772,49.79%,10,5-5,50.00%,0.128,78,39-39,50.00%,751,374-377,49.80%,,,
all,373,Anton Matusevich,8,0.765,1118,47.14%,3,2-1,66.67%,0.167,18,7-11,38.89%,177,81-96,45.76%,,,
all,911,Aoran Wang,5,0.715,705,46.67%,3,1-2,33.33%,0.250,12,4-8,33.33%,122,56-66,45.90%,,,
all,808,Arda Azkara,12,0.883,1593,48.52%,4,3-1,75.00%,0.154,26,11-15,42.31%,253,119-134,47.04%,,,
all,492,Aristotelis Thanos,8,0.863,1072,47.20%,0,0-0,,0.000,18,4-14,22.22%,168,73-95,43.45%,,,
all,769,Arklon Huertas Del Pino Cordova,9,1.035,1364,49.19%,4,0-4,0.00%,0.190,21,9-12,42.86%,212,104-108,49.06%,,,
all,439,Arthur Bouquier,14,0.928,2407,49.56%,6,4-2,66.67%,0.162,37,17-20,45.95%,372,181-191,48.66%,,,
all,73,Arthur Cazaux,21,1.085,3219,51.10%,13,8-5,61.54%,0.255,51,30-21,58.82%,509,268-241,52.65%,,,
all,114,Arthur Fery,45,1.151,7285,51.60%,19,9-10,47.37%,0.162,117,72-45,61.54%,1149,616-533,53.61%,,,
all,24,Arthur Fils,35,1.138,4880,52.01%,19,12-7,63.16%,0.237,80,54-26,67.50%,787,430-357,54.64%,,,
all,127,Arthur Gea,51,1.088,7565,51.87%,25,14-11,56.00%,0.207,121,75-46,61.98%,1184,638-546,53.89%,,,
all,29,Arthur Rinderknech,53,1.070,9020,50.79%,36,16-20,44.44%,0.255,141,74-67,52.48%,1453,745-708,51.27%,,,
all,417,Arthur Weber,8,0.808,1098,47.18%,2,1-1,50.00%,0.111,18,5-13,27.78%,168,73-95,43.45%,,,
all,414,Aryan Shah,12,0.796,1722,46.57%,3,0-3,0.00%,0.100,30,9-21,30.00%,273,118-155,43.22%,,,
all,227,August Holmgren,46,1.060,7042,49.93%,22,13-9,59.09%,0.198,111,55-56,49.55%,1115,555-560,49.78%,,,
all,664,Aziz Dougaz,7,1.039,1165,49.27%,4,1-3,25.00%,0.222,18,7-11,38.89%,180,85-95,47.22%,,,
all,525,Aziz Ouakaa,12,0.693,1446,42.67%,2,1-1,50.00%,0.074,27,4-23,14.81%,238,83-155,34.87%,,,
all,300,Beibit Zhukayev,25,0.866,3780,48.17%,14,6-8,42.86%,0.230,61,26-35,42.62%,597,280-317,46.90%,,,
all,746,Ben Jones,5,0.783,630,46.98%,1,1-0,100.00%,0.091,11,4-7,36.36%,103,48-55,46.60%,,,
all,10,Ben Shelton,48,1.055,8253,50.76%,37,21-16,56.76%,0.287,129,75-54,58.14%,1374,710-664,51.67%,,,
all,70,Benjamin Bonzi,41,1.006,6645,50.14%,22,12-10,54.55%,0.202,109,59-50,54.13%,1086,546-540,50.28%,,,
all,506,Benjamin Hassan,28,0.901,4016,47.63%,5,3-2,60.00%,0.075,67,23-44,34.33%,641,289-352,45.09%,,,
all,732,Benjamin Torrealba,6,0.785,785,42.42%,1,0-1,0.00%,0.071,14,2-12,14.29%,125,43-82,34.40%,,,
all,917,Benoit Paire,5,0.719,726,45.32%,1,1-0,100.00%,0.077,13,3-10,23.08%,113,45-68,39.82%,,,
all,834,Bernabe Zapata Miralles,8,0.681,986,42.80%,1,0-1,0.00%,0.053,19,3-16,15.79%,159,55-104,34.59%,,,
all,171,Bernard Tomic,43,1.081,6572,50.67%,22,9-13,40.91%,0.212,104,57-47,54.81%,1016,524-492,51.57%,,,
all,155,Billy Harris,40,0.986,6653,49.50%,31,17-14,54.84%,0.307,101,49-52,48.51%,1041,510-531,48.99%,,,
all,344,Blaise Bicknell,33,0.900,4943,48.25%,10,6-4,60.00%,0.125,80,34-46,42.50%,769,357-412,46.42%,,,
all,502,Blake Ellis,27,0.925,4366,48.99%,19,12-7,63.16%,0.288,66,33-33,50.00%,684,331-353,48.39%,,,
all,443,Bor Artnak,8,0.778,1054,47.72%,1,0-1,0.00%,0.056,18,5-13,27.78%,165,73-92,44.24%,,,
all,169,Borna Gojo,31,1.216,4574,52.78%,14,7-7,50.00%,0.194,72,50-22,69.44%,729,409-320,56.10%,,,
all,70,Botic van de Zandschulp,43,0.993,7184,49.55%,28,13-15,46.43%,0.255,110,56-54,50.91%,1113,558-555,50.13%,,,
all,234,Braden Shick,20,0.907,2859,50.37%,6,5-1,83.33%,0.130,46,26-20,56.52%,440,224-216,50.91%,,,
all,109,Brandon Holt,15,1.094,2432,49.88%,3,1-2,33.33%,0.077,39,18-21,46.15%,377,186-191,49.34%,,,
