surface,ranking,player_name,matches_played,return_points_won,return_points_won_in_play,vs_ace_pct,vs_double_fault_pct,vs_first_serve_win_pct,vs_second_serve_win_pct,break_point_conversion_pct,points_per_return_game,points_won_per_return_game,median_opponent_rank,mean_opponent_rank
all,267,Abdullah Shelbayh,41,39.27%,39.07%,6.18%,4.28%,31.32%,51.40%,44.33%,6.32,2.48,227,291.3
all,98,Adam Walton,62,36.72%,37.93%,9.98%,4.15%,28.57%,49.39%,41.56%,6.39,2.35,121,195.8
all,777,Adhithya Ganesan,6,33.91%,33.33%,6.96%,4.35%,26.30%,46.78%,41.94%,6.13,2.08,299.5,262.5
all,968,Aditya Vishal Balsekar,7,29.61%,29.38%,7.26%,3.35%,24.90%,39.82%,54.55%,5.68,1.68,391,565.6
all,70,Adolfo Daniel Vallejo,75,43.93%,43.61%,3.96%,3.63%,37.46%,54.27%,45.62%,6.57,2.89,217,247.3
all,368,Adria Soriano Barrera,9,28.47%,27.85%,5.75%,3.09%,23.13%,38.62%,20.69%,6.31,1.8,293,295.7
all,1108,Adrian Andreev,10,36.93%,36.10%,6.61%,5.03%,27.50%,49.66%,33.33%,6.89,2.54,281,309.5
all,435,Adrian Boitan,11,37.93%,38.19%,7.61%,4.28%,27.08%,56.23%,32.88%,6.42,2.44,271,283.3
all,52,Adrian Mannarino,49,35.36%,37.35%,11.45%,3.66%,26.99%,51.16%,40.07%,6.2,2.19,58,88.4
all,659,Aidan Kim,5,35.64%,32.81%,5.54%,6.92%,25.27%,53.27%,31.03%,6.15,2.19,277,350.2
all,625,Aidan Mayo,16,35.52%,34.02%,5.54%,5.13%,28.79%,44.55%,24.59%,7.02,2.5,231.5,255.2
all,291,Akira Santillan,27,37.34%,37.47%,6.34%,3.59%,29.33%,50.52%,40.61%,6.27,2.34,265,380.4
all,444,Alafia Ayeni,15,36.50%,34.95%,4.25%,4.67%,30.12%,46.65%,29.73%,6.78,2.47,268,385.5
all,554,Alan Magadan,16,39.27%,39.47%,7.57%,4.61%,32.28%,48.46%,34.59%,6.81,2.68,302,336.4
all,264,Alastair Gray,32,37.41%,37.52%,7.59%,4.38%,30.12%,50.11%,36.62%,6.62,2.48,336,386.4
all,354,Albert Ramos-Vinolas,5,33.92%,36.33%,8.19%,0.88%,28.02%,46.36%,40.62%,5.8,1.97,161,235
all,618,Alberto Barroso Campos,10,39.54%,39.18%,6.00%,4.46%,31.34%,50.18%,47.54%,6.25,2.47,450.5,442.3
all,20,Alejandro Davidovich Fokina,51,36.06%,37.49%,9.52%,3.42%,28.03%,50.14%,40.00%,6.3,2.27,53,58
all,236,Alejandro Moro Canas,57,39.72%,39.50%,4.66%,3.39%,32.91%,50.96%,39.52%,6.7,2.66,261,381.4
all,29,Alejandro Tabilo,77,36.25%,38.17%,10.04%,3.10%,28.76%,49.15%,39.28%,6.41,2.32,70,107.2
all,450,Alejo Sanchez Quilez,16,40.99%,40.20%,4.03%,4.03%,34.81%,51.80%,55.10%,6.16,2.53,293,303.2
all,96,Aleksandar Kovacevic,45,30.65%,32.87%,13.56%,3.34%,22.93%,43.68%,33.16%,6.1,1.87,67,111
