surface,ranking,player_name,matches_played,match_record,match_win_pct,service_points_won,service_points_won_in_play,total_aces,ace_pct,double_faults,double_fault_pct,double_fault_per_second_serve,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,second_serve_win_pct_in_play,service_hold_pct,points_per_service_game,points_lost_per_service_game
hard,1,Jannik Sinner [ITA],40,38-2,95.00%,71.30%,69.50%,341,11.30%,73,2.40%,6.00%,59.70%,79.40%,59.20%,63.00%,91.80%,6,1.7
hard,2,Carlos Alcaraz [ESP],41,31-10,75.60%,69.20%,68.90%,230,8.20%,93,3.30%,9.20%,63.80%,75.60%,57.90%,63.70%,87.40%,5.9,1.8
hard,3,Alexander Zverev [GER],43,32-11,74.40%,70.40%,68.70%,415,12.50%,107,3.20%,10.30%,68.60%,77.10%,55.60%,62.00%,89.70%,6,1.8
hard,4,Jack Draper [GBR],40,30-10,75.00%,66.80%,65.40%,353,11.20%,119,3.80%,9.70%,60.90%,76.00%,52.50%,58.10%,85.10%,6.2,2.1
hard,5,Taylor Fritz [USA],45,30-15,66.70%,70.00%,67.60%,453,12.90%,93,2.70%,7.30%,63.60%,78.30%,55.40%,59.80%,90.10%,6,1.8
hard,6,Novak Djokovic [SRB],27,20-7,74.10%,69.40%,68.50%,201,10.50%,67,3.50%,10.20%,65.40%,76.70%,55.70%,62.00%,89.40%,6.2,1.9
hard,7,Lorenzo Musetti [ITA],27,15-12,55.60%,63.10%,63.30%,121,5.00%,79,3.30%,9.00%,64.00%,69.30%,51.90%,57.10%,77.00%,6.4,2.4
hard,8,Holger Rune [DEN],44,29-15,65.90%,66.00%,66.00%,231,7.30%,121,3.80%,9.70%,60.70%,73.20%,54.70%,60.60%,83.20%,6.2,2.1
hard,9,Daniil Medvedev [RUS],38,23-15,60.50%,64.60%,65.20%,274,9.90%,172,6.20%,15.30%,59.20%,74.80%,49.80%,58.80%,80.40%,6.3,2.2
hard,10,Ben Shelton [USA],45,28-17,62.20%,69.80%,68.40%,435,11.30%,119,3.10%,9.80%,68.30%,76.00%,56.50%,62.60%,90.60%,6.3,1.9
hard,11,Alex De Minaur [AUS],43,28-15,65.10%,65.00%,65.60%,198,6.30%,131,4.20%,8.90%,53.40%,74.20%,54.50%,59.90%,82.00%,6.1,2.1
hard,12,Frances Tiafoe [USA],39,23-16,59.00%,66.30%,64.60%,370,10.50%,113,3.20%,7.60%,57.90%,75.50%,53.60%,58.00%,83.80%,6.5,2.2
hard,13,Tommy Paul [USA],36,24-12,66.70%,64.90%,63.70%,231,7.80%,76,2.60%,6.60%,60.80%,72.30%,53.50%,57.20%,82.30%,6.4,2.3
hard,14,Andrey Rublev [RUS],45,26-19,57.80%,67.60%,65.90%,399,11.60%,115,3.30%,8.90%,62.40%,76.90%,52.20%,57.30%,85.00%,6.1,2
hard,15,Casper Ruud [NOR],36,20-16,55.60%,65.70%,65.00%,208,8.20%,87,3.40%,10.50%,67.50%,72.10%,52.20%,58.40%,82.90%,6.2,2.1
hard,16,Arthur Fils [FRA],41,25-16,61.00%,66.40%,65.70%,302,9.30%,123,3.80%,9.80%,61.00%,76.50%,50.60%,56.10%,82.90%,6.2,2.1
hard,17,Jakub Mensik [CZE],37,23-14,62.20%,65.60%,62.50%,537,15.90%,156,4.60%,11.60%,60.20%,77.90%,46.80%,53.00%,83.60%,6.6,2.3
hard,18,Ugo Humbert [FRA],38,25-13,65.80%,67.50%,66.00%,300,10.60%,89,3.10%,8.00%,60.80%,75.90%,54.50%,59.20%,86.40%,6.1,2
hard,19,Francisco Cerundolo [ARG],33,19-14,57.60%,62.90%,63.80%,129,5.10%,108,4.20%,10.60%,60.10%,70.00%,52.20%,58.40%,79.40%,6.6,2.4
hard,20,Karen Khachanov [RUS],37,21-16,56.80%,66.50%,64.80%,260,9.30%,70,2.50%,6.80%,63.30%,74.70%,52.30%,56.20%,81.80%,6.1,2.1
hard,21,Grigor Dimitrov [BUL],36,23-13,63.90%,67.20%,67.40%,285,10.60%,147,5.50%,13.50%,59.60%,78.60%,50.30%,58.10%,84.30%,6.3,2.1
hard,22,Alexei Popyrin [AUS],30,16-14,53.30%,65.20%,63.50%,272,11.50%,95,4.00%,10.30%,61.10%,76.10%,48.00%,53.50%,82.60%,6.5,2.3
hard,23,Tomas Machac [CZE],42,27-15,64.30%,65.60%,65.70%,254,8.40%,139,4.60%,11.70%,60.90%,73.70%,52.80%,59.90%,83.10%,6.3,2.2
hard,24,Flavio Cobolli [ITA],32,16-16,50.00%,62.20%,62.30%,179,6.90%,112,4.30%,9.50%,54.80%,72.00%,50.50%,55.80%,77.10%,6.7,2.5
hard,25,Jiri Lehecka [CZE],42,26-16,61.90%,66.00%,64.20%,337,11.00%,104,3.40%,8.40%,59.80%,75.60%,51.70%,56.50%,85.00%,6.4,2.2
hard,26,Stefanos Tsitsipas [GRE],35,21-14,60.00%,67.70%,67.10%,255,9.40%,104,3.80%,9.70%,60.80%,76.60%,53.80%,59.60%,86.00%,6.1,2
hard,27,Alejandro Davidovich Fokina [ESP],39,22-17,56.40%,62.10%,62.10%,170,5.20%,100,3.10%,9.10%,66.40%,67.60%,51.30%,56.50%,77.50%,6.6,2.5
hard,28,Felix Auger Aliassime [CAN],38,24-14,63.20%,67.20%,65.70%,386,13.10%,131,4.50%,13.10%,66.00%,75.30%,51.70%,59.50%,84.90%,6.2,2
hard,29,Tallon Griekspoor [NED],40,22-18,55.00%,67.40%,66.00%,376,11.20%,120,3.60%,10.70%,66.50%,76.10%,50.10%,56.20%,86.50%,6.4,2.1
hard,30,Denis Shapovalov [CAN],39,26-13,66.70%,66.20%,68.10%,313,11.00%,226,7.90%,19.90%,60.10%,76.90%,50.20%,62.60%,84.40%,6.2,2.1
hard,31,Alexander Bublik [KAZ],22,5-17,22.70%,62.70%,62.80%,244,14.70%,146,8.80%,21.20%,58.50%,77.10%,42.40%,53.90%,78.30%,6.7,2.5
hard,32,Alex Michelsen [USA],48,29-19,60.40%,64.20%,63.70%,244,6.70%,115,3.20%,9.50%,66.70%,71.10%,50.20%,55.50%,80.70%,6.5,2.3
hard,33,Sebastian Korda [USA],23,15-8,65.20%,66.00%,64.10%,175,10.30%,47,2.80%,7.00%,60.60%,73.90%,53.90%,58.00%,84.40%,6.2,2.1
hard,34,Brandon Nakashima [USA],45,25-20,55.60%,68.70%,65.40%,403,12.40%,50,1.50%,4.50%,66.10%,75.80%,54.80%,57.40%,87.60%,6.1,1.9
hard,35,Matteo Berrettini [ITA],34,20-14,58.80%,69.40%,65.70%,381,14.30%,49,1.80%,5.80%,68.30%,77.40%,52.20%,55.40%,88.20%,6.2,1.9
hard,36,Giovanni Mpetshi Perricard [FRA],27,14-13,51.90%,70.90%,68.90%,458,22.00%,145,7.00%,18.70%,62.60%,80.40%,55.10%,67.70%,91.50%,6.3,1.8
